City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Utete,TZ,-7.986,38.758,73.44,96,0,2.51,clear sky
308,San Quintin,MX,30.4833,-115.95,58.78,47,68,10.31,broken clouds
309,Nizhniy Tsasuchey,RU,50.5167,115.1333,-15.81,82,28,9.71,scattered clouds
310,Ndola,ZM,-12.9587,28.6366,66.99,92,88,1.99,overcast clouds
311,Caiaponia,BR,-16.9567,-51.8103,78.44,76,87,5.73,light rain
312,Port Hedland,AU,-20.3167,118.5667,80.6,78,1,8.05,clear sky
313,San Patricio,US,28.017,-97.5169,73.4,20,1,16.11,clear sky
314,Peniche,PT,39.3558,-9.3811,57.99,95,100,8.99,overcast clouds
315,Valle De San Juan,CO,4.1987,-75.1173,85.73,51,6,2.46,clear sky
316,Japura,ID,-0.3167,102.35,72.27,96,100,0.67,overcast clouds
317,Maun,BW,-19.9833,23.4167,71.1,89,100,4.16,moderate rain
318,Grenfell,AU,-33.9,148.1667,69.01,66,89,13.0,overcast clouds
319,Adrar,MR,20.5022,-10.0711,69.46,21,0,9.78,clear sky
320,Tarko-Sale,RU,64.9225,77.785,-43.69,80,32,6.08,scattered clouds
321,Hervey Bay,AU,-25.2986,152.8535,75.0,87,33,3.0,scattered clouds
322,Atar,MR,20.5169,-13.0499,73.83,17,0,10.45,clear sky
323,Insar,RU,53.8653,44.3738,32.31,97,100,17.76,snow
324,Baoying,CN,33.2292,119.3092,46.0,99,34,15.14,scattered clouds
325,Churapcha,RU,62.0025,132.4325,-47.31,75,100,3.06,overcast clouds
326,Ixtapa,MX,20.7,-105.2,83.61,38,21,7.25,few clouds
327,Wenatchee,US,47.4235,-120.3103,37.0,93,90,3.44,overcast clouds
328,Chapais,CA,49.7834,-74.8492,21.2,79,90,6.91,light snow
329,Porto Velho,BR,-8.7619,-63.9039,77.0,94,90,3.44,light rain
330,Kologriv,RU,58.8275,44.3178,25.79,97,100,6.46,overcast clouds
331,Samana,DO,19.2056,-69.3369,82.4,69,20,11.5,few clouds
332,Ukwa,IN,21.9667,80.4667,57.58,71,0,2.73,clear sky
333,Griffith,US,41.5284,-87.4237,28.99,74,90,4.61,overcast clouds
334,Escanaba,US,45.7453,-87.0646,19.0,57,75,10.36,broken clouds
335,Ketchikan,US,55.3422,-131.6461,32.0,69,20,8.05,few clouds
336,Esmeraldas,BR,-19.7625,-44.3139,86.0,39,40,8.05,scattered clouds
337,Bukama,CD,-9.2,25.85,69.89,91,99,3.36,light rain
338,Okato,NZ,-39.2,173.8833,63.0,94,67,7.58,broken clouds
339,Great Yarmouth,GB,52.6083,1.7305,41.0,93,40,1.14,fog
340,Acolla,PE,-11.7319,-75.5463,60.06,54,96,3.2,overcast clouds
341,Bentong,MY,3.5181,101.9079,79.0,82,100,1.1,overcast clouds
342,Prince Rupert,CA,54.3161,-130.3201,33.8,80,75,2.3,broken clouds
343,Dryden,CA,49.7833,-92.7503,-2.2,60,1,2.3,clear sky
344,Sao Felix Do Xingu,BR,-6.6447,-51.995,79.95,87,82,2.53,broken clouds
